Year;Month;Number of transactions;Bottles Sold;Volume Sold (Liters);Money Sold (dollars);
2012;1;147,770;1,302,231;1,212,082;15,916,194;
2012;2;156,728;1,457,824;1,386,566;18,116,104;
2012;3;160,535;1,458,665;1,352,873;18,139,546;
2012;4;164,970;1,588,914;1,499,567;20,004,897;
2012;5;192,270;1,782,175;1,709,433;22,193,521;
2012;6;169,344;1,683,434;1,618,026;21,858,903;
2012;7;180,983;1,649,128;1,548,759;20,697,364;
2012;8;190,763;1,734,694;1,626,636;21,531,283;
2012;9;149,230;1,408,375;1,308,897;18,188,453;
2012;10;197,168;2,396,571;2,362,801;32,713,954;
2012;11;168,615;1,542,081;1,376,736;19,778,515;
2012;12;203,683;1,913,312;1,752,904;26,064,580;
2013;1;162,997;1,453,242;1,326,089;17,838,850;
2013;2;150,846;1,404,414;1,320,255;18,258,606;
2013;3;155,189;1,421,106;1,298,133;18,221,544;
2013;4;177,752;1,744,106;1,656,555;22,162,041;
2013;5;178,481;1,747,436;1,684,864;22,409,325;
2013;6;157,047;1,532,594;1,437,005;19,734,621;
2013;7;195,087;1,809,277;1,663,536;22,637,647;
2013;8;169,615;1,675,752;1,559,805;21,552,820;
2013;9;165,463;1,511,020;1,389,416;19,126,693;
2013;10;189,553;2,311,777;2,241,360;32,145,812;
2013;11;149,057;1,385,596;1,248,726;17,800,950;
2013;12;212,676;1,938,372;1,750,708;26,214,887;
2014;1;158,228;1,569,483;1,467,400;20,045,933;
2014;2;149,853;1,471,942;1,382,314;19,183,282;
2014;3;160,399;1,499,646;1,377,646;19,328,906;
2014;4;177,106;1,757,024;1,637,260;22,639,172;
2014;5;165,048;1,623,101;1,541,197;20,966,264;
2014;6;185,136;1,843,349;1,727,003;24,429,678;
2014;7;187,997;1,744,062;1,602,278;21,947,353;
2014;8;173,094;1,658,930;1,529,544;21,170,887;
2014;9;171,399;1,745,361;1,617,235;23,435,553;
2014;10;180,683;1,976,014;1,867,398;26,542,408;
2014;11;157,228;1,536,083;1,379,795;20,272,760;
2014;12;231,625;2,241,264;2,028,542;30,625,542;
2015;1;158,795;1,459,538;1,321,350;18,498,508;
2015;2;158,636;1,591,962;1,494,081;21,224,352;
2015;3;179,195;1,752,114;1,579,862;23,262,370;
2015;4;180,736;1,762,273;1,597,904;22,857,263;
2015;5;169,613;1,683,839;1,602,766;22,437,371;
2015;6;205,269;2,057,771;1,883,666;27,089,683;
2015;7;182,494;1,729,239;1,570,713;22,414,166;
2015;8;178,742;1,740,078;1,558,104;22,116,398;
2015;9;189,607;1,839,869;1,679,661;24,113,360;
2015;10;174,460;1,925,849;1,774,252;25,913,248;
2015;11;176,337;1,773,733;1,576,465;23,718,715;
2015;12;230,599;2,256,178;1,978,878;30,683,138;
2016;1;159,083;1,471,599;1,301,957;19,018,055;
2016;2;172,613;1,764,680;1,648,110;22,801,842;
2016;3;193,373;1,848,907;1,605,509;23,706,446;
2016;4;171,314;1,734,437;1,559,815;22,667,025;
2016;5;199,812;1,983,846;1,823,961;25,819,176;
2016;6;208,530;2,121,372;1,907,398;27,338,670;
2016;7;173,150;1,692,319;1,519,271;21,988,266;
2016;8;206,093;1,781,231;1,587,702;24,471,459;
2016;9;185,406;417,261;365,856;14,472,624;
2016;10;189,063;422,777;370,850;15,321,947;
2016;11;195,939;430,618;368,445;15,809,276;
2016;12;225,503;522,679;449,216;18,116,928;
2017;1;171,825;366,383;306,559;13,172,011;
2017;2;160,635;368,559;331,983;12,676,180;
2017;3;191,376;418,498;357,166;14,983,379;
2017;4;172,927;385,350;334,503;13,612,557;
2017;5;209,386;468,456;413,453;16,443,927;
2017;6;203,522;458,716;407,095;16,409,811;
2017;7;187,824;419,803;369,257;14,665,790;
2017;8;212,123;468,728;402,862;16,748,209;
2017;9;172,334;390,682;348,786;13,552,296;
2017;10;201,145;468,594;409,272;15,995,503;
